AveragePrice,Small_Hass,Large_Hass,XLarge_Hass,Small_Bags,Large_Bags,XLarge_Bags,type,year,region
1.33,-0.390085063890254,-0.1948128779187683,-0.34003131568992506,-0.3530011640873326,-0.3617788336909318,-0.23077226247546928,conventional,2015,Albany
1.35,-0.39190580711018375,-0.2653155854172063,-0.33952778079633644,-0.34653940336129907,-0.3616772321398407,-0.23077226247546928,conventional,2015,Albany
0.93,-0.39130090202122514,0.19802709585270317,-0.33595451498804835,-0.3575107011489307,-0.3615418432804858,-0.23077226247546928,conventional,2015,Albany
1.08,-0.38960654488365876,-0.06896605785728414,-0.338822237803845,-0.3765060848055053,-0.36080810755067216,-0.23077226247546928,conventional,2015,Albany
1.28,-0.3905635828968493,-0.27106452054133984,-0.33866380007921537,-0.37402516067368513,-0.3592761766164139,-0.23077226247546928,conventional,2015,Albany
1.26,-0.3893439772952194,-0.24068584934242526,-0.34025659432963284,-0.36944493743595547,-0.36095955137210983,-0.23077226247546928,conventional,2015,Albany
0.99,-0.38841642601905096,-0.05678248405800509,-0.3377983340084259,-0.35626887355461806,-0.36108870994767145,-0.23077226247546928,conventional,2015,Albany
0.98,-0.39175777062976846,0.14534916130548572,-0.33845486032986,-0.37177131588268786,-0.35053748471737933,-0.23077226247546928,conventional,2015,Albany
1.02,-0.390158353752801,0.041205896490063676,-0.3381904673768843,-0.33291255445672213,-0.3572120356704261,-0.23077226247546928,conventional,2015,Albany
1.07,-0.39106129088733277,-0.12081557460232581,-0.33682097129461674,-0.35735599481344255,-0.35048764244703273,-0.23077226247546928,conventional,2015,Albany
1.12,-0.39064707004664573,-0.04296979871121847,-0.3366194583136034,-0.35883084581338914,-0.3561583988304553,-0.23077226247546928,conventional,2015,Albany
1.28,-0.38734591178962086,-0.20757549665658923,-0.3372012218337279,-0.34285890269044494,-0.3578398565757533,-0.23077226247546928,conventional,2015,Albany
1.31,-0.38389847520515474,-0.22766645987087986,-0.3373972885179571,-0.3547975568634781,-0.3549849488406129,-0.23077226247546928,conventional,2015,Albany
0.99,-0.38924044720151874,0.12806723400615055,-0.334749398045084,-0.37480744779794195,-0.36052462963807597,-0.23077226247546928,conventional,2015,Albany
1.33,-0.3901288167828369,-0.15991884847731977,-0.334964279209113,-0.35392104827944576,-0.3453641925322236,-0.23077226247546928,conventional,2015,Albany
1.28,-0.3903413021279868,-0.1140682861358788,-0.3353851294151605,-0.35250660183001165,-0.3491208140332976,-0.23077226247546928,conventional,2015,Albany
1.11,-0.39087517783679365,0.060936303317418006,-0.3304938597851095,-0.3597545052899092,-0.3585683205269726,-0.23077226247546928,conventional,2015,Albany
1.07,-0.3918318139864472,0.09182097446572816,-0.32580806407918755,-0.3400261541819696,-0.3619094300242919,-0.23077226247546928,conventional,2015,Albany
1.34,-0.39161003554700585,-0.09800176425083347,-0.3203939499578587,-0.3357941406868884,-0.36078869782039297,-0.23077226247546928,conventional,2015,Albany
1.33,-0.39258209320988896,-0.09274266868026669,-0.3228635979905234,-0.3393935932307916,-0.36052582776957465,-0.23077226247546928,conventional,2015,Albany
1.12,-0.39235614543625197,0.13921611152849667,-0.324148428913692,-0.348882730425263,-0.36138824282235044,-0.23077226247546928,conventional,2015,Albany
1.45,-0.39273133528091503,-0.14036879166741498,-0.30572360689293193,-0.3275790414919896,-0.362132282483053,-0.23077226247546928,conventional,2015,Albany
1.11,-0.39203405181140544,0.0744853946522413,-0.2945572131317678,-0.3171929127874478,-0.3608704103886054,-0.23077226247546928,conventional,2015,Albany
1.26,-0.3900581390332799,0.003382166844804486,-0.23160742954696,-0.3329209082775377,-0.3596044646470621,-0.23077226247546928,conventional,2015,Albany
1.05,-0.3919160043974333,0.09419727089237868,-0.13161243035429243,-0.22699936017348246,-0.3614136432101232,-0.22229418175923726,conventional,2015,Albany
1.35,-0.39092541077890947,-0.06448323587835221,-0.05113002718554537,-0.18383974655590735,-0.35836367966699184,-0.23077226247546928,conventional,2015,Albany
1.37,-0.39195629121701014,-0.17261251619293774,-0.11155669000562594,-0.21076017510964065,-0.35561876040343365,-0.23077226247546928,conventional,2015,Albany
1.27,-0.3912541351521153,-0.0351215922569311,-0.07103277610636635,-0.24810946537439532,-0.3588937330420238,-0.23077226247546928,conventional,2015,Albany
1.32,-0.39102020034068197,-0.18801768285668652,-0.12569329598570658,-0.1944430746016537,-0.3482111925994724,-0.23077226247546928,conventional,2015,Albany
1.07,-0.3919940663894812,0.1267141420193992,-0.3379438986679294,-0.24286431012982737,-0.352985267369256,-0.23077226247546928,conventional,2015,Albany
1.23,-0.39065957804923257,-0.0797879207920365,-0.33991298251434227,-0.2355747982162523,-0.3530260038402123,-0.23077226247546928,conventional,2015,Albany
1.19,-0.3918757175778564,-0.07327262378570984,-0.3395094614344261,-0.19108009944699086,-0.3497958413196742,-0.23077226247546928,conventional,2015,Albany
1.43,-0.38951336277603393,0.0027052976435123013,-0.3377458515121423,-0.2109716713616345,-0.35509901095929064,-0.23077226247546928,conventional,2015,Albany
1.26,-0.3881576761342124,0.14667905414622506,-0.33322344470974474,-0.2892877776050807,-0.35716602742087544,-0.23077226247546928,conventional,2015,Albany
1.2,-0.39067213628476155,-0.2592016408192859,-0.33165986241480583,-0.3240975063419061,-0.35518168203270206,-0.23077226247546928,conventional,2015,Albany
1.22,-0.3908942663547977,-0.3284995728526903,-0.33797855692019213,-0.32510253524617766,-0.34720092811975517,-0.23077226247546928,conventional,2015,Albany
1.19,-0.39140413071727315,-0.3421478531059117,-0.34008132259676127,-0.3128437851505485,-0.34726466871548684,-0.23077226247546928,conventional,2015,Albany
1.13,-0.39095143144292543,-0.3677700529565264,-0.3413512999832458,-0.29006741399773256,-0.3480571128887376,-0.23077226247546928,conventional,2015,Albany
1.16,-0.39046166025729623,-0.33039637237910446,-0.3377735781139525,-0.3428356887076017,-0.3459069461011419,-0.20427476267919303,conventional,2015,Albany
1.02,-0.3882488489241526,-0.1648739849583419,-0.3379844983348657,-0.3642075737358021,-0.3526169617465507,-0.23077226247546928,conventional,2015,Albany
1.12,-0.38453387168997766,-0.33947564187564033,-0.3353950317729499,-0.3477882192480247,-0.3521024840810021,-0.23077226247546928,conventional,2015,Albany
1.11,-0.38460203779242885,-0.3672455942438953,-0.3374809634412771,-0.34186833232220026,-0.3548811906528241,-0.23077226247546928,conventional,2015,Albany
1.07,-0.3912959791928978,-0.3677952631740194,-0.33454095341361817,-0.3512024418803829,-0.35552003436793944,-0.23077226247546928,conventional,2015,Albany
0.99,-0.3921309511567468,-0.2581724749889255,-0.33342990886965274,-0.34992920713281184,-0.36005016956458447,-0.23077226247546928,conventional,2015,Albany
1.07,-0.3898256609771679,-0.334142208484261,-0.3349395233146396,-0.3498159486006009,-0.35492240637637995,-0.23077226247546928,conventional,2015,Albany
1.06,-0.39033663046437,-0.370130476283274,-0.33140339134806157,-0.3419464084167456,-0.356029959133793,-0.23077226247546928,conventional,2015,Albany
0.99,-0.38847444506719475,-0.3050126999709231,-0.3343330039000417,-0.3408762357751527,-0.35182978935189435,-0.23077226247546928,conventional,2015,Albany
0.99,-0.3884918758981089,-0.15486186559058543,-0.33353734945166724,-0.348445118734848,-0.3603624026331498,-0.23077226247546928,conventional,2015,Albany
1.06,-0.3905640852262704,-0.3475012535641373,-0.3342889384078791,-0.3409545528452985,-0.3462218150590045,-0.23077226247546928,conventional,2015,Albany
1.17,-0.3907009197605939,-0.35939415571044214,-0.33569358786029885,-0.32852230031734625,-0.35754439734816995,-0.23077226247546928,conventional,2015,Albany
1.24,-0.3902553033310845,-0.35867577224786523,-0.3361218648346884,-0.35756026179742295,-0.3546983557861201,-0.23077226247546928,conventional,2015,Albany
1.22,-0.3811297359016154,-0.3827577786400216,-0.33994516517715767,-0.34831571483740703,-0.35132441748573595,-0.23077226247546928,conventional,2015,Albany
0.99,1.0719980637749982,-0.38948409450388183,-0.3276662415183597,-0.031681647717346946,0.06128403439496499,-0.23077226247546928,conventional,2015,Atlanta
1.08,0.8694427163896227,-0.43723605310655056,-0.33731311847674755,-0.04514166118121317,-0.07963420182651068,-0.23077226247546928,conventional,2015,Atlanta
0.96,1.236937527348732,-0.3631379089201362,-0.3287604520540832,-0.10961620926008261,0.17821807427514488,-0.22733066535303847,conventional,2015,Atlanta
1.07,1.0264199572403474,-0.41541305457931815,-0.3334086188004056,-0.124644250956069,-0.03681178393090417,-0.23008292557955,conventional,2015,Atlanta
0.99,0.8619806128383187,-0.3784324666524344,-0.3271745894541183,-0.15678196190991828,0.1329368509178735,-0.22456314305503056,conventional,2015,Atlanta
1.0,0.9599869917580697,-0.37238007520662647,-0.31760247529704005,-0.12496852378907285,0.10061677448741142,-0.23077226247546928,conventional,2015,Atlanta
1.13,0.9304336960877843,-0.38164429145542544,-0.3198399130395444,-0.15176404665657356,-0.04315229582210895,-0.23077226247546928,conventional,2015,Atlanta
1.12,0.8627478205632536,-0.3382562861423701,-0.3182421676102323,-0.1356467149213586,-0.05391007892277963,-0.2245148131619587,conventional,2015,Atlanta
0.99,1.0637605645291945,-0.13358135359533102,-0.32989971831774834,-0.1051404891077476,0.25732302909376686,-0.22868135868046696,conventional,2015,Atlanta
1.09,0.7942949382455567,-0.12188912765322939,-0.3273463953617636,-0.1664598633247412,0.23324513886927156,-0.23077226247546928,conventional,2015,Atlanta
1.09,0.7535861117219601,-0.15691179384547527,-0.3279969802685241,-0.12583563432468767,0.19802630309081612,-0.23077226247546928,conventional,2015,Atlanta
0.95,0.8903354509756052,0.06800881077192233,-0.31272308849633623,-0.0914917114235298,0.7175195867193669,-0.23077226247546928,conventional,2015,Atlanta
0.96,0.9398840697209742,0.08045597858316471,-0.31050892129463686,-0.30262103790311096,0.7043549970640754,-0.23077226247546928,conventional,2015,Atlanta
1.07,0.9213498722332132,-0.14154979339458482,-0.308708177530643,-0.25717119217887074,0.23806330487820784,-0.23006511982947095,conventional,2015,Atlanta
